Tempo,Angolo,Velocità angolare,Accelerazione angolare,Lunghezza,Velocità di allungamento,Accelerazione di allungamento
5980,-38.03665,-32.198795,643.81665,49.71152,-42.02425,830.39404
5995,-38.510036,-20.117168,691.5728,49.08664,-27.311213,801.0085
6011,-38.757923,-7.429363,718.52997,48.724236,-13.142402,778.9535
6028,-38.77527,5.4966908,723.68353,48.61298,0.645476,764.6036
6046,-38.562412,18.298828,707.2042,48.74591,14.222184,757.8246
6060,-38.127205,30.56854,670.55945,49.11827,27.680597,757.99457
6077,-37.483658,41.980972,616.30115,49.72728,41.14264,763.999
6097,-36.648476,52.28837,547.6254,50.574635,54.73711,774.44574
6112,-35.645477,61.25827,468.5757,51.66076,68.50478,787.7389
6129,-34.500446,68.752884,383.39877,52.987633,82.48032,802.27246
6145,-33.240715,74.71016,296.28696,54.557594,96.67084,816.5671
6162,-31.893847,79.15641,217.50673,56.3667,108.74325,254.65085
6178,-30.481398,82.65926,194.65962,58.24,102.43014,-961.80273
6194,-29.014254,86.278206,230.5785,59.820442,76.54613,-1962.8359
6213,-27.478098,90.9349,312.3442,60.817444,36.611427,-2557.8484
6229,-25.847937,97.30388,425.83716,61.05673,-9.229944,-2636.4143
6246,-24.095531,105.770874,554.4726,60.518806,-51.684917,-2192.8147
6262,-22.177504,116.43882,675.761,59.33623,-82.57262,-1322.0265
6278,-20.063631,128.87178,755.32367,57.768795,-95.92964,-203.55609
6295,-17.732777,141.98077,750.3779,56.145252,-89.47437,937.8378
6311,-15.187197,154.02759,638.9068,54.78889,-67.188065,1409.8595
6328,-12.457446,163.65561,476.7804,53.845257,-42.719555,1439.9125
6344,-9.59837,170.17906,281.8594,53.326366,-17.939379,1455.6471
6362,-6.653902,173.18918,68.31645,53.23282,6.9920945,1453.7867
6377,-3.6998215,172.52406,-144.63158,53.563004,31.642986,1432.9753
6395,-0.7857313,168.35011,-340.0264,54.31036,55.79547,1394.0228
6411,2.0284197,161.10095,-503.55435,55.462727,79.13352,1339.7699
6429,4.691852,151.64642,-586.74146,56.958305,93.60962,311.5552
6444,7.183733,141.77,-560.6861,58.54,89.498665,-783.844
6461,9.514156,133.00249,-463.56644,59.898907,67.94616,-1709.8162
6477,11.707958,126.227104,-333.02002,60.772045,33.448017,-2292.375
6495,13.805001,121.74489,-197.25528,60.997345,-7.211922,-2429.6785
6511,15.845096,119.45716,-77.04427,60.5366,-46.242687,-2104.9353
6529,17.863941,118.944855,9.33621,59.480587,-76.30956,-1387.8817
6543,19.87789,119.47304,42.877544,58.036594,-91.84735,-424.92593
6562,21.902359,119.997635,6.5924764,56.472717,-90.31574,599.15186
6577,23.924587,119.266014,-102.87936,55.07704,-73.16372,1208.5524
6594,25.915833,116.44712,-231.21788,54.012543,-53.18761,1158.6705
6610,27.840265,111.49,-355.41818,53.27802,-34.112694,1103.3309
6627,29.661827,104.53529,-468.02206,52.85735,-16.025057,1044.4606
6645,31.353964,95.807594,-563.2919,52.73285,1.0861101,984.14026
6662,32.884533,85.663704,-636.8769,52.888115,17.166481,924.90314
6679,34.234097,74.482796,-687.0615,53.305717,32.264072,868.8881
6695,35.3875,62.674618,-714.09845,53.968437,46.433586,817.9363
6711,36.33958,50.593807,-719.9164,54.862427,59.79762,773.2195
6728,37.088684,38.577374,-705.9586,55.972694,71.412125,421.87213
6744,37.639458,26.985344,-668.956,57.195015,71.4671,-411.48557
6761,38.00024,16.115608,-626.5341,58.30036,58.144398,-1147.0234
6778,38.18419,5.8774004,-595.165,59.088013,34.21447,-1654.2938
6795,38.199802,-3.9798243,-584.2176,59.41613,4.401823,-1843.9298
6811,38.050854,-13.83444,-596.13855,59.234337,-25.65212,-1688.1416
6827,37.733936,-24.065628,-627.33844,58.58581,-50.41288,-1220.9799
6846,37.239857,-34.930424,-668.0175,57.59833,-65.34057,-531.6078
6863,36.557842,-46.448097,-702.02026,56.463673,-67.72814,249.91553
6885,35.679955,-58.3268,-709.5471,55.39923,-57.31825,911.5733
6904,34.597794,-70.1322,-688.8994,54.56418,-41.8099,931.06696
6920,33.311024,-81.48105,-645.6334,53.990177,-25.822151,954.8206
6933,31.837242,-91.915886,-579.8292,53.690678,-9.389155,980.9588
6950,30.199833,-101.03997,-493.66675,53.67382,7.462653,1007.29535
6966,28.42212,-108.5524,-390.997,53.946064,24.73691,1031.644
6983,26.534733,-114.2178,-277.4256,54.5134,42.37096,1051.9172
7000,24.565718,-117.91724,-159.2283,55.38295,60.32274,1066.4524
